,alpha,beta,delta_m,lam,lamb,mmin,mpp,mu_chi,mu_spin,sigma_chi,sigma_spin,sigpp,xi_spin
136,3.4637818,1.0764685,5.4443035,0.026689518,4.1893244,4.5894084,33.59175,0.13315904,0.12972653,0.33006182,0.30177528,3.1383152,0.94085616
137,4.083606,0.7289643,3.3429484,0.021390038,4.928587,5.640012,34.448936,0.14009896,0.11745298,0.1705387,0.32283592,2.3803554,0.9235308
138,3.5414166,1.4931135,5.053109,0.020877825,3.9178953,5.593831,32.36701,0.107793875,0.1126281,0.32966253,0.2497767,3.3069208,0.91132945
139,3.7608843,1.9027193,4.625712,0.02834676,4.187937,4.946518,32.595634,0.10949125,0.12174523,0.40910372,0.25876555,3.8985753,0.92524785
140,3.962903,1.1388178,4.6897616,0.02829926,4.7580547,5.361354,30.711666,0.3206465,0.14051318,0.18278064,0.4354775,6.009514,0.81146777
141,3.8283157,1.3837798,3.9405198,0.0176305,4.0655947,5.7155013,35.44365,0.14073922,0.13340235,0.17329153,0.31314304,2.1558769,0.89944386
142,3.778173,0.48884392,5.184059,0.016143668,5.1633205,5.1315584,33.309013,0.30676606,0.11643231,0.20955673,0.3639307,1.5599477,0.79764897
143,3.4504046,0.78902125,4.4674196,0.036683455,3.8963776,5.496772,32.06054,0.11002354,0.13595259,0.37782788,0.2674903,5.0313315,0.94557446
144,3.855793,0.3559153,4.464326,0.014872624,5.455162,5.6451426,33.297344,0.20758164,0.12824464,0.20098111,0.3487187,2.2801242,0.79655474
145,3.892694,1.4964457,3.7431607,0.032489073,3.7234898,5.892044,34.903095,0.14195284,0.14993858,0.22937706,0.60793984,2.2583642,0.64621645
146,3.4337153,0.64362454,4.342283,0.032695636,4.960017,5.1533785,33.834213,0.11970993,0.09335828,0.26318493,0.21615101,3.367429,0.9453099
147,3.663066,-0.90077925,4.542158,0.032050807,5.209756,5.4147663,33.483826,0.30411777,0.11851573,0.18546416,0.33159226,3.025976,0.9612862
148,3.7898002,2.3932939,5.9576387,0.015508954,3.745637,5.230607,33.035347,0.10298499,0.13987255,0.36783898,0.2576972,2.33387,0.8421149
149,3.8753352,-0.04098928,4.2865686,0.025337983,5.608694,5.433346,32.817013,0.27099305,0.10861242,0.18749028,0.30546016,2.5382032,0.94675094
150,4.069186,-0.13030648,4.299136,0.025232777,5.9333143,5.7702026,34.283028,0.2353485,0.1565299,0.18043177,0.3668999,3.3300776,0.9770635
151,4.0527773,-0.15080738,5.3205566,0.016996419,5.552701,5.6946287,32.022915,0.18308535,0.15026152,0.18028468,0.36717248,4.354121,0.9748687
152,4.161628,0.2536142,4.4664793,0.016709827,5.9740305,5.7428794,32.77967,0.1685029,0.1309433,0.16738938,0.41463864,3.9602344,0.99124515
153,3.9286876,0.3389125,4.1150537,0.019726086,5.904825,5.2613196,32.134514,0.19547024,0.17702866,0.20924217,0.33325177,3.818441,0.95283407
154,3.9438477,0.4132235,5.4427586,0.012438653,4.6391068,5.0683384,33.63221,0.23631042,0.032307744,0.14618407,0.3203299,2.5055833,0.5174563
155,3.9535618,2.5838947,6.222109,0.009566833,5.1612625,4.685464,33.18226,0.19664754,-0.047756493,0.20441036,0.2746073,3.0757906,0.71859914
156,4.073601,0.9355092,5.020392,0.011209069,4.7425537,5.102141,32.21862,0.13559176,0.15074217,0.29268432,0.36272186,2.830595,0.82418615
157,3.2804427,0.2160356,3.2524416,0.026918946,3.9117527,5.9987764,32.437965,0.14775866,0.21176684,0.30353352,0.37923622,3.7757778,0.85108656
158,4.068921,1.8582449,4.4753313,0.014619524,5.7812967,5.999395,33.10162,0.17611408,0.11977506,0.22553536,0.23943813,4.6059704,0.9856697
159,4.172348,-0.18515933,2.6725829,0.02591035,5.125222,5.9949913,33.22615,0.19945905,0.11401725,0.27042094,0.43877935,2.7568722,0.95800817
160,3.6181674,2.2361016,3.9422998,0.0218258,4.357382,5.4018235,35.052696,0.11095004,0.08487558,0.26585284,0.30377162,2.1575747,0.7476895
161,3.8459473,0.21912956,5.0067434,0.019931123,5.0083656,5.535638,31.13744,0.116141796,0.10911465,0.26075006,0.26335457,4.4581966,0.86319166
162,3.8478498,-0.17722821,5.373837,0.020641223,5.1461163,5.600976,31.788494,0.114115655,0.12320149,0.2640727,0.28256148,5.0879326,0.77948356
163,4.167774,2.2792616,4.2092247,0.026400216,4.8198614,5.7992134,27.096571,0.14457801,0.12443209,0.2329782,0.35455513,8.1213255,0.991867
164,3.9158387,2.02918,3.0010443,0.02641502,4.5203648,5.88531,28.006195,0.15507717,0.12673151,0.26827708,0.3836446,8.952669,0.9881175
165,3.7888398,-0.10398829,5.917033,0.019069707,4.8839703,4.9743514,30.687946,0.12031546,0.13237822,0.24152935,0.32583737,8.647394,0.65166676
166,3.681139,0.2326963,4.988329,0.028778862,5.2013187,5.0273385,31.429848,0.1304512,0.1483773,0.25372937,0.33507758,8.578318,0.83711004
167,3.574541,0.045158148,4.0605445,0.04307924,4.494314,5.39372,29.654133,0.18423206,0.14024985,0.30878133,0.36088476,7.416746,0.8751393
168,3.7112093,1.2221887,3.3333106,0.028173992,4.7104273,5.8622417,33.849472,0.10678085,0.08008742,0.24309677,0.2539003,2.9193256,0.86387354
169,3.9088016,0.8895707,4.75507,0.020019714,4.9078693,5.1992683,32.148438,0.15580668,0.2041328,0.33163196,0.27124324,5.112958,0.7581855
170,3.8592725,1.1778162,4.4606647,0.018459003,4.8852158,5.1032605,31.174278,0.10915717,0.1090579,0.25653246,0.36103287,3.3010726,0.8470184
171,3.6281939,1.3176694,4.2080374,0.027393991,3.1564713,5.559755,33.733612,0.1691284,0.16001844,0.3117512,0.30535075,1.9828846,0.95799744
172,3.8308344,0.20545459,6.4851394,0.012038026,5.375084,4.514841,31.17406,0.10644802,0.074388504,0.24706206,0.38837242,2.1626532,0.84135103
173,4.014243,4.5974684,5.5313396,0.015842136,3.9683895,5.44469,33.19908,0.22289017,0.16109848,0.32057995,0.24682611,1.8862274,0.81260586
174,3.8151226,4.285555,3.2451172,0.01616607,5.083725,5.548773,32.082348,0.11793261,0.15287519,0.23946422,0.4551285,4.0520077,0.936801
175,4.29677,5.3807054,4.679579,0.017033584,3.906849,5.8623495,32.48004,0.12808156,0.1853478,0.26933178,0.35548878,2.8436718,0.91525173
